date,day,off,id,item_id,name,price,high,low,open,time,updated_at
1400-03-23,Sun,0,63398450,137203,price_dollar_rl,241030,241250,238940,238970,2021-06-13 00:00:00,2021-06-14 00:11:31
1400-03-24,Mon,0,63415677,137203,price_dollar_rl,239720,241050,238550,240970,2021-06-14 00:00:00,2021-06-15 00:15:57
1400-03-25,Tue,0,63501673,137203,price_dollar_rl,240490,240050,239950,239970,2021-06-15 00:00:00,2021-06-17 13:08:08
1400-03-26,Wed,0,63580284,137203,price_dollar_rl,241750,242250,239450,240470,2021-06-16 00:00:00,2021-06-17 00:22:42
1400-03-27,Thu,0,63656122,137203,price_dollar_rl,244290,244640,241950,242010,2021-06-17 00:00:00,2021-06-18 00:22:00
1400-03-28,Fri,0,63805454,137203,price_dollar_rl,234890,244640,234690,244490,2021-06-19 00:00:00,2021-06-20 00:25:58
1400-03-29,Sat,0,63805454,137203,price_dollar_rl,234890,244640,234690,244490,2021-06-19 00:00:00,2021-06-20 00:25:58
1400-03-30,Sun,0,63816671,137203,price_dollar_rl,239600,240440,234690,234810,2021-06-20 00:00:00,2021-06-21 00:09:37
1400-03-31,Mon,0,63836271,137203,price_dollar_rl,240990,241440,239190,239940,2021-06-21 00:00:00,2021-06-22 00:13:23
1400-04-01,Tue,0,63928598,137203,price_dollar_rl,242670,243140,241190,241190,2021-06-22 00:00:00,2021-06-23 00:09:44
1400-04-02,Wed,0,64005347,137203,price_dollar_rl,241790,243340,240790,243310,2021-06-23 00:00:00,2021-06-24 00:07:39
1400-04-03,Thu,0,64073394,137203,price_dollar_rl,241890,242440,241190,241690,2021-06-24 00:00:00,2021-06-25 00:07:47
1400-04-04,Fri,0,64216400,137203,price_dollar_rl,244540,245940,242290,244500,2021-06-26 00:00:00,2021-06-27 00:04:42
1400-04-05,Sat,0,64216400,137203,price_dollar_rl,244540,245940,242290,244500,2021-06-26 00:00:00,2021-06-27 00:04:42
1400-04-06,Sun,0,64225203,137203,price_dollar_rl,246770,246940,243490,243490,2021-06-27 00:00:00,2021-06-28 00:04:54
1400-04-07,Mon,0,64238003,137203,price_dollar_rl,247120,248640,246290,246360,2021-06-28 00:00:00,2021-06-29 00:05:39
1400-04-08,Tue,0,64320995,137203,price_dollar_rl,249650,252040,248890,249000,2021-06-29 00:00:00,2021-06-30 00:06:29
1400-04-09,Wed,0,64391454,137203,price_dollar_rl,254000,254130,249990,250020,2021-06-30 00:00:00,2021-07-01 00:05:58
1400-04-10,Thu,0,64463976,137203,price_dollar_rl,251510,253440,250690,253290,2021-07-01 00:00:00,2021-07-02 00:04:59
1400-04-11,Fri,0,64463976,137203,price_dollar_rl,251510,253440,250690,253290,2021-07-01 00:00:00,2021-07-02 00:04:59
1400-04-12,Sat,0,64599709,137203,price_dollar_rl,252360,253840,251390,251600,2021-07-03 00:00:00,2021-07-04 00:05:59
1400-04-13,Sun,0,64606598,137203,price_dollar_rl,251510,254640,251090,254490,2021-07-04 00:00:00,2021-07-05 00:04:36
1400-04-14,Mon,0,64624945,137203,price_dollar_rl,249720,251340,249490,251220,2021-07-05 00:00:00,2021-07-06 00:05:58
1400-04-15,Tue,0,64694581,137203,price_dollar_rl,251090,251640,250590,250990,2021-07-06 00:00:00,2021-07-07 00:06:50
1400-04-16,Wed,0,64777140,137203,price_dollar_rl,250860,251340,250010,250490,2021-07-07 00:00:00,2021-07-08 12:30:01
1400-04-17,Thu,0,64854289,137203,price_dollar_rl,250190,251140,249490,251070,2021-07-08 00:00:00,2021-07-09 00:07:50
1400-04-18,Fri,0,64854289,137203,price_dollar_rl,250190,251140,249490,251070,2021-07-08 00:00:00,2021-07-09 00:07:50
1400-04-19,Sat,0,64999770,137203,price_dollar_rl,249490,250340,248190,250340,2021-07-10 00:00:00,2021-07-11 00:06:24
1400-04-20,Sun,0,65011358,137203,price_dollar_rl,249990,250140,248790,249210,2021-07-11 00:00:00,2021-07-12 00:05:23
1400-04-21,Mon,0,65028421,137203,price_dollar_rl,249690,250140,249290,250040,2021-07-12 00:00:00,2021-07-13 00:07:24
